experiment,population,head,target,horizon_min,event_class,split,n_samples,n_positive,n_days,decision_threshold,metric,value,ci95_low,ci95_high
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,BSS_raw,-0.06634,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,Brier_calibrated,0.170679,,
E1,common,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,104186,28802,162,0.535,BSS_calibrated,0.14671,0.1179,0.1667
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,ROC_AUC,0.945762,0.9409,0.9507
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,TSS,0.771866,0.7602,0.783
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,POD_recall,0.840535,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,precision,0.520439,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,F1,0.642845,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,false_alarm_ratio,0.479561,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,false_positive_rate,0.068668,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,HSS,0.602899,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,frequency_bias,1.615048,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,accuracy,0.923937,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,TP,7295.0,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,FP,6722.0,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,FN,1384.0,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,TN,91169.0,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,Brier_raw,0.059526,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,BSS_raw,0.204273,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,Brier_calibrated,0.029676,,
E1,native,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,106570,8679,162,0.337,BSS_calibrated,0.603298,0.5766,0.6265
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,ROC_AUC,0.810925,0.7972,0.8253
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,TSS,0.473904,0.4567,0.4908
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,POD_recall,0.555638,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,precision,0.523879,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,F1,0.539291,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,false_alarm_ratio,0.476121,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,false_positive_rate,0.081734,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,HSS,0.462162,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,frequency_bias,1.060622,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,accuracy,0.867749,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,TP,8249.0,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,FP,7497.0,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,FN,6597.0,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,TN,84227.0,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,Brier_raw,0.131674,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,BSS_raw,-0.098193,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,Brier_calibrated,0.078806,,
E1,native,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,106570,14846,162,0.411,BSS_calibrated,0.342738,0.3222,0.3605
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,ROC_AUC,0.753357,0.7365,0.7715
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,TSS,0.361666,0.3414,0.3815
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,POD_recall,0.475964,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,precision,0.495907,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,F1,0.485731,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,false_alarm_ratio,0.504093,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,false_positive_rate,0.114297,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,HSS,0.367307,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,frequency_bias,0.959784,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,accuracy,0.807404,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,TP,9693.0,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,FP,9853.0,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,FN,10672.0,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,TN,76352.0,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,Brier_raw,0.168597,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,BSS_raw,-0.090696,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,Brier_calibrated,0.117326,,
E1,native,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,106570,20365,162,0.451,BSS_calibrated,0.240991,0.2203,0.2575
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,ROC_AUC,0.699192,0.6779,0.7226
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,TSS,0.262538,0.2384,0.2851
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,POD_recall,0.369972,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,precision,0.57128,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,F1,0.449099,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,false_alarm_ratio,0.42872,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,false_positive_rate,0.107434,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,HSS,0.29433,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,frequency_bias,0.647619,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,accuracy,0.746767,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,TP,11000.0,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,FP,8255.0,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,FN,18732.0,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,TN,68583.0,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,Brier_raw,0.213047,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,BSS_raw,-0.059118,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,Brier_calibrated,0.17092,,
E1,native,flare_within_60min,flare starts or is in progress within the horizon,60,>=C1.0 (GOES-18 XRS flare list),test,106570,29732,162,0.535,BSS_calibrated,0.150305,0.1227,0.1703
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,ROC_AUC,0.920279,0.9149,0.9261
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,TSS,0.727285,0.7103,0.7428
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,POD_recall,0.808371,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,precision,0.466007,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,F1,0.5912,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,false_alarm_ratio,0.533993,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,false_positive_rate,0.081086,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,HSS,0.544709,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,frequency_bias,1.734677,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,accuracy,0.910017,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,TP,6779.0,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,FP,7768.0,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,FN,1607.0,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,TN,88032.0,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,Brier_raw,0.081068,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,BSS_raw,-0.095333,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,Brier_calibrated,0.037235,,
E2,common,in_flare,flare in progress,0,>=C1.0 (GOES-18 XRS flare list),test,104186,8386,162,0.38,BSS_calibrated,0.496899,0.4743,0.5196
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,ROC_AUC,0.762757,0.7502,0.7754
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,TSS,0.445487,0.4255,0.4652
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,POD_recall,0.526242,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,precision,0.509963,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,F1,0.517975,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,false_alarm_ratio,0.490037,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,false_positive_rate,0.080756,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,HSS,0.439591,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,frequency_bias,1.031923,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,accuracy,0.865126,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,TP,7550.0,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,FP,7255.0,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,FN,6797.0,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,TN,82584.0,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,Brier_raw,0.165882,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,BSS_raw,-0.396989,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,Brier_calibrated,0.085326,,
E2,common,flare_within_15min,flare starts or is in progress within the horizon,15,>=C1.0 (GOES-18 XRS flare list),test,104186,14347,162,0.446,BSS_calibrated,0.281422,0.2634,0.2992
E2,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.482,ROC_AUC,0.686254,0.6696,0.7006
E2,common,flare_within_30min,flare starts or is in progress within the horizon,30,>=C1.0 (GOES-18 XRS flare list),test,104186,19678,162,0.482,TSS,0.331935,0.3123,0.3513
