experiment,population,horizon_min,split,kind,units,n_samples,n_days,metric,value,ci95_low,ci95_high
E4,common,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,MAE,0.074592,0.0704,0.0785
E4,common,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,RMSE,0.127623,,
E4,common,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,bias,-0.016545,,
E4,common,15,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103844,162,correlation,0.925085,,
E4,common,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,MAE,0.091578,0.086,0.0969
E4,common,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,RMSE,0.156822,,
E4,common,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,bias,-0.026084,,
E4,common,30,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103557,162,correlation,0.884762,,
E4,common,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,MAE,0.108842,0.1022,0.1152
E4,common,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,RMSE,0.180472,,
E4,common,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,bias,-0.035752,,
E4,common,60,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",103070,162,correlation,0.845183,,
E4,native,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",117185,171,MAE,0.075527,0.062,0.0921
E4,native,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",117185,171,RMSE,0.142519,,
E4,native,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",117185,171,bias,0.03435,,
E4,native,0,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",117185,171,correlation,0.91096,,
E4,native,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",117138,171,MAE,0.075171,0.0619,0.0914
E4,native,1,test,model (median),"dex (log10 W m^-2, GOES-18 XRS-B)",117138,171,RMSE,0.140424,,
