experiment,population,horizon_min,split,interval,nominal_coverage,n_samples,metric,value,ci95_low,ci95_high
E2,common,30,test,q10-q90,0.8,103557,scale_from_validation,2.170001,,
E2,common,30,test,q10-q90,0.8,103557,coverage_scaled,0.556447,,
E2,common,30,test,q10-q90,0.8,103557,width_scaled_dex,0.88096,,
E2,common,30,test,q10-q90,0.8,103557,pinball_q10,0.164397,,
E2,common,30,test,q10-q90,0.8,103557,pinball_q50,0.168558,,
E2,common,30,test,q10-q90,0.8,103557,pinball_q90,0.05974,,
E2,common,60,test,q10-q90,0.8,103070,coverage_raw,0.206956,,
E2,common,60,test,q10-q90,0.8,103070,width_raw_dex,0.45888,,
E2,common,60,test,q10-q90,0.8,103070,scale_from_validation,2.085731,,
E2,common,60,test,q10-q90,0.8,103070,coverage_scaled,0.55798,,
E2,common,60,test,q10-q90,0.8,103070,width_scaled_dex,0.957101,,
E2,common,60,test,q10-q90,0.8,103070,pinball_q10,0.165613,,
E2,common,60,test,q10-q90,0.8,103070,pinball_q50,0.175224,,
E2,common,60,test,q10-q90,0.8,103070,pinball_q90,0.065295,,
E2,native,1,test,q10-q90,0.8,114738,coverage_raw,0.130759,,
E2,native,1,test,q10-q90,0.8,114738,width_raw_dex,0.260784,,
E2,native,1,test,q10-q90,0.8,114738,scale_from_validation,2.517339,,
E2,native,1,test,q10-q90,0.8,114738,coverage_scaled,0.553888,,
E2,native,1,test,q10-q90,0.8,114738,width_scaled_dex,0.656481,,
E2,native,1,test,q10-q90,0.8,114738,pinball_q10,0.169443,,
E2,native,1,test,q10-q90,0.8,114738,pinball_q50,0.155615,,
E2,native,1,test,q10-q90,0.8,114738,pinball_q90,0.044021,,
E2,native,5,test,q10-q90,0.8,114637,coverage_raw,0.139859,,
E2,native,5,test,q10-q90,0.8,114637,width_raw_dex,0.288162,,
E2,native,5,test,q10-q90,0.8,114637,scale_from_validation,2.432012,,
E2,native,5,test,q10-q90,0.8,114637,coverage_scaled,0.558301,,
E2,native,5,test,q10-q90,0.8,114637,width_scaled_dex,0.700814,,
E2,native,5,test,q10-q90,0.8,114637,pinball_q10,0.169396,,
E2,native,5,test,q10-q90,0.8,114637,pinball_q50,0.160391,,
E2,native,5,test,q10-q90,0.8,114637,pinball_q90,0.047168,,
E2,native,15,test,q10-q90,0.8,114424,coverage_raw,0.157205,,
E2,native,15,test,q10-q90,0.8,114424,width_raw_dex,0.348684,,
E2,native,15,test,q10-q90,0.8,114424,scale_from_validation,2.299411,,
E2,native,15,test,q10-q90,0.8,114424,coverage_scaled,0.549727,,
E2,native,15,test,q10-q90,0.8,114424,width_scaled_dex,0.801767,,
E2,native,15,test,q10-q90,0.8,114424,pinball_q10,0.173978,,
E2,native,15,test,q10-q90,0.8,114424,pinball_q50,0.17062,,
E2,native,15,test,q10-q90,0.8,114424,pinball_q90,0.054768,,
E2,native,30,test,q10-q90,0.8,114117,coverage_raw,0.187133,,
E2,native,30,test,q10-q90,0.8,114117,width_raw_dex,0.405505,,
E2,native,30,test,q10-q90,0.8,114117,scale_from_validation,2.170001,,
E2,native,30,test,q10-q90,0.8,114117,coverage_scaled,0.547193,,
E2,native,30,test,q10-q90,0.8,114117,width_scaled_dex,0.879946,,
E2,native,30,test,q10-q90,0.8,114117,pinball_q10,0.168496,,
E2,native,30,test,q10-q90,0.8,114117,pinball_q50,0.171062,,
E2,native,30,test,q10-q90,0.8,114117,pinball_q90,0.060134,,
E2,native,60,test,q10-q90,0.8,113600,coverage_raw,0.19985,,
E2,native,60,test,q10-q90,0.8,113600,width_raw_dex,0.458162,,
E2,native,60,test,q10-q90,0.8,113600,scale_from_validation,2.085731,,
E2,native,60,test,q10-q90,0.8,113600,coverage_scaled,0.548873,,
E2,native,60,test,q10-q90,0.8,113600,width_scaled_dex,0.955604,,
E2,native,60,test,q10-q90,0.8,113600,pinball_q10,0.169797,,
E2,native,60,test,q10-q90,0.8,113600,pinball_q50,0.1777,,
E2,native,60,test,q10-q90,0.8,113600,pinball_q90,0.065607,,
E4,common,1,test,q10-q90,0.8,104143,coverage_raw,0.652747,,
E4,common,1,test,q10-q90,0.8,104143,width_raw_dex,0.108087,,
E4,common,1,test,q10-q90,0.8,104143,scale_from_validation,1.760482,,
E4,common,1,test,q10-q90,0.8,104143,coverage_scaled,0.897151,,
E4,common,1,test,q10-q90,0.8,104143,width_scaled_dex,0.190285,,
E4,common,1,test,q10-q90,0.8,104143,pinball_q10,0.01046,,
E4,common,1,test,q10-q90,0.8,104143,pinball_q50,0.022376,,
E4,common,1,test,q10-q90,0.8,104143,pinball_q90,0.010614,,
E4,common,5,test,q10-q90,0.8,104047,coverage_raw,0.701798,,
E4,common,5,test,q10-q90,0.8,104047,width_raw_dex,0.137918,,
E4,common,5,test,q10-q90,0.8,104047,scale_from_validation,1.680695,,
E4,common,5,test,q10-q90,0.8,104047,coverage_scaled,0.910848,,
E4,common,5,test,q10-q90,0.8,104047,width_scaled_dex,0.231799,,
E4,common,5,test,q10-q90,0.8,104047,pinball_q10,0.012197,,
E4,common,5,test,q10-q90,0.8,104047,pinball_q50,0.027308,,
E4,common,5,test,q10-q90,0.8,104047,pinball_q90,0.014367,,
E4,common,15,test,q10-q90,0.8,103844,coverage_raw,0.766871,,
E4,common,15,test,q10-q90,0.8,103844,width_raw_dex,0.204612,,
E4,common,15,test,q10-q90,0.8,103844,scale_from_validation,1.508442,,
E4,common,15,test,q10-q90,0.8,103844,coverage_scaled,0.900572,,
E4,common,15,test,q10-q90,0.8,103844,width_scaled_dex,0.308646,,
E4,common,15,test,q10-q90,0.8,103844,pinball_q10,0.015097,,
E4,common,15,test,q10-q90,0.8,103844,pinball_q50,0.037296,,
E4,common,15,test,q10-q90,0.8,103844,pinball_q90,0.024017,,
E4,common,30,test,q10-q90,0.8,103557,coverage_raw,0.780575,,
E4,common,30,test,q10-q90,0.8,103557,width_raw_dex,0.26691,,
E4,common,30,test,q10-q90,0.8,103557,scale_from_validation,1.407959,,
E4,common,30,test,q10-q90,0.8,103557,coverage_scaled,0.888197,,
E4,common,30,test,q10-q90,0.8,103557,width_scaled_dex,0.375799,,
E4,common,30,test,q10-q90,0.8,103557,pinball_q10,0.017753,,
E4,common,30,test,q10-q90,0.8,103557,pinball_q50,0.045789,,
E4,common,30,test,q10-q90,0.8,103557,pinball_q90,0.031511,,
E4,common,60,test,q10-q90,0.8,103070,coverage_raw,0.79153,,
E4,common,60,test,q10-q90,0.8,103070,width_raw_dex,0.333225,,
E4,common,60,test,q10-q90,0.8,103070,scale_from_validation,1.331222,,
E4,common,60,test,q10-q90,0.8,103070,coverage_scaled,0.882643,,
E4,common,60,test,q10-q90,0.8,103070,width_scaled_dex,0.443597,,
E4,common,60,test,q10-q90,0.8,103070,pinball_q10,0.020672,,
E4,common,60,test,q10-q90,0.8,103070,pinball_q50,0.054421,,
E4,common,60,test,q10-q90,0.8,103070,pinball_q90,0.037437,,
E4,native,1,test,q10-q90,0.8,117138,coverage_raw,0.60083,,
E4,native,1,test,q10-q90,0.8,117138,width_raw_dex,0.11626,,
E4,native,1,test,q10-q90,0.8,117138,scale_from_validation,1.760482,,
E4,native,1,test,q10-q90,0.8,117138,coverage_scaled,0.830499,,
E4,native,1,test,q10-q90,0.8,117138,width_scaled_dex,0.204673,,
E4,native,1,test,q10-q90,0.8,117138,pinball_q10,0.032952,,
E4,native,1,test,q10-q90,0.8,117138,pinball_q50,0.037586,,
E4,native,1,test,q10-q90,0.8,117138,pinball_q90,0.013988,,
E4,native,5,test,q10-q90,0.8,117037,coverage_raw,0.644326,,
E4,native,5,test,q10-q90,0.8,117037,width_raw_dex,0.145738,,
E4,native,5,test,q10-q90,0.8,117037,scale_from_validation,1.680695,,
E4,native,5,test,q10-q90,0.8,117037,coverage_scaled,0.842477,,
E4,native,5,test,q10-q90,0.8,117037,width_scaled_dex,0.244941,,
E4,native,5,test,q10-q90,0.8,117037,pinball_q10,0.034364,,
E4,native,5,test,q10-q90,0.8,117037,pinball_q50,0.042371,,
E4,native,5,test,q10-q90,0.8,117037,pinball_q90,0.017718,,
E4,native,15,test,q10-q90,0.8,116824,coverage_raw,0.704564,,
E4,native,15,test,q10-q90,0.8,116824,width_raw_dex,0.212393,,
E4,native,15,test,q10-q90,0.8,116824,scale_from_validation,1.508442,,
E4,native,15,test,q10-q90,0.8,116824,coverage_scaled,0.833399,,
E4,native,15,test,q10-q90,0.8,116824,width_scaled_dex,0.320383,,
E4,native,15,test,q10-q90,0.8,116824,pinball_q10,0.036514,,
E4,native,15,test,q10-q90,0.8,116824,pinball_q50,0.051944,,
E4,native,15,test,q10-q90,0.8,116824,pinball_q90,0.027136,,
E4,native,30,test,q10-q90,0.8,116507,coverage_raw,0.718807,,
E4,native,30,test,q10-q90,0.8,116507,width_raw_dex,0.274614,,
E4,native,30,test,q10-q90,0.8,116507,scale_from_validation,1.407959,,
